title,total_score,reviews_count,street,city,state,country_code,website,phone,categories,url,category_name
Gym Corrientes,4.6,303,Corrientes 2035,Rosario,Santa Fe Province,AR,https://www.facebook.com/gym.corrientes2/,+54 341 481-0169,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20Corrientes&query_place_id=ChIJ8Zi4_wurt5URm8xxrjDdPJw,Gym
Iron Gym,4.9,99,Tomás de la Torre 1453,Funes,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Iron%20Gym&query_place_id=ChIJkWQPZ6lNtpURcyBFl8HBknE,Gym
MG WORLD GYM,4.6,283,"ARL, San Lorenzo 1250",Rosario,Santa Fe Province,AR,http://www.mundogymcentro.com.ar/,+54 341 303-7976,Gym,https://www.google.com/maps/search/?api=1&query=MG%20WORLD%20GYM&query_place_id=ChIJNd71BRirt5URPkGoznUcjqg,Gym
Limited Gym,4.5,138,Ayacucho 5272,IHO,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Limited%20Gym&query_place_id=ChIJIRftItGrt5URdyqLBV9VLPw,Gym
Madison Fitness & Gym,5,86,Necochea 2002,Rosario,Santa Fe Province,AR,https://www.instagram.com/madisonfitnessgym?igsh=Znh1MnJ3b3Q4eXdl,+54 341 228-2097,Gym,https://www.google.com/maps/search/?api=1&query=Madison%20Fitness%20%26%20Gym&query_place_id=ChIJUdpa3zart5URavqShpydTkA,Gym
EURO GYM RED Florida,4.5,373,Blvd. Rondeau 3540,Rosario,Santa Fe Province,AR,,+54 341 455-9341,Gym,https://www.google.com/maps/search/?api=1&query=EURO%20GYM%20RED%20Florida&query_place_id=ChIJ1zHpUJZTtpURBvXZYvvrHPQ,Gym
F y F Gym,4.8,150,Mendoza 2320,Rosario,Santa Fe Province,AR,https://www.facebook.com/FyF-GYM-879716388800063/,+54 341 250-4999,Gym,https://www.google.com/maps/search/?api=1&query=F%20y%20F%20Gym&query_place_id=ChIJS8E_Emqrt5UR6wCp6R4mMyc,Gym
New Life Gym,4.6,167,3 de Febrero 1340,Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=New%20Life%20Gym&query_place_id=ChIJv1OjqhGrt5URhvXm925Wswo,Gym
Cross Gym,4.6,97,Av. Rivarola 7042,Rosario,Santa Fe Province,AR,https://www.instagram.com/gimnasiocrossgym?igsh=MWNkdDJremt3dGJyNA==,+54 341 368-1379,Gym,https://www.google.com/maps/search/?api=1&query=Cross%20Gym&query_place_id=ChIJ5UtS4d2tt5UR3l0HpNh1Kzk,Gym
Pro Gym,4.9,50,"Mendoza 5321 Entre larrea y camilo aldao Entre alvarado, Coronel Manuel José Olascoaga y",Rosario,Santa Fe Province,AR,,+54 341 598-3764,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Pro%20Gym&query_place_id=ChIJ9RVvq0ett5URz0Ackr5XPQI,Gymnastics center
Star Gym,4.5,114,Mendoza 5797 Oeste,Rosario,Santa Fe Province,AR,,+54 341 643-6333,Gym,https://www.google.com/maps/search/?api=1&query=Star%20Gym&query_place_id=ChIJ_7W3Fcust5UR5MMdNe1gJhU,Gym
Gimnasio Center Gym,4.8,79,Av. Francia 747,Rosario,Santa Fe Province,AR,,+54 341 691-4954,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Center%20Gym&query_place_id=ChIJn9g_k1qrt5URYtHazGx5OeM,Gym
Estación Club Rosario - Gym,4.4,150,Pueyrredón 747,Rosario,Santa Fe Province,AR,http://estacionclub.com/,+54 341 742-2751,Gym,https://www.google.com/maps/search/?api=1&query=Estaci%C3%B3n%20Club%20Rosario%20-%20Gym&query_place_id=ChIJ1-9S7hart5URTYtK7YQttD0,Gym
Kyrios Gym,4.8,24,,Rosario,Santa Fe Province,AR,https://www.instagram.com/gimnasiokyrios.fisherton/,,Gym,https://www.google.com/maps/search/?api=1&query=Kyrios%20Gym&query_place_id=ChIJcUHr1sBTtpURAVZK8yAoV68,Gym
TRIBU FIT GYM,5,11,Av. Alberdi 727 PISO 1,Rosario,Santa Fe Province,AR,https://www.instagram.com/tribufit.gym?igsh=MTFiM2p2MnJtZGJjYw==,+54 341 619-7385,Gym,https://www.google.com/maps/search/?api=1&query=TRIBU%20FIT%20GYM&query_place_id=ChIJSw9booVTtpURZBYolSRVWiA,Gym
Gimnasio Beauty Gym,4.5,58,"PCN, Mendoza 3866",Rosario,Santa Fe Province,AR,https://instagram.com/beautygym_mujer?igshid=1elmk9z539dex,,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Beauty%20Gym&query_place_id=ChIJPdAprqest5URYmbs5vC3MvU,Gym
Ova Gym,4.7,166,Av. San Martín 1490,Granadero Baigorria,Santa Fe Province,AR,http://linktr.ee/OvaGym,+54 341 252-1132,Gym,https://www.google.com/maps/search/?api=1&query=Ova%20Gym&query_place_id=ChIJm8Op_WFRtpURfdp8KRIW3ko,Gym
Personal House Gym,4.8,73,3 de Febrero 986 planta alta,Rosario,Santa Fe Province,AR,https://www.instagram.com/gympersonalhouse/,+54 341 508-5440,Gym,https://www.google.com/maps/search/?api=1&query=Personal%20House%20Gym&query_place_id=ChIJdWW8zRqrt5UR-LFYnykwlRs,Gym
Fox Gym,4.7,111,Güemes 2461,JBE,Santa Fe Province,AR,,+54 341 641-7979,Gym,https://www.google.com/maps/search/?api=1&query=Fox%20Gym&query_place_id=ChIJtTxvmUmrt5URfmMJ5kt80p4,Gym
Xtreme GYM,4.7,96,Arijon 1511,Rosario,Santa Fe Province,AR,https://www.instagram.com/x.tremegym/,+54 341 321-9629,Gym,https://www.google.com/maps/search/?api=1&query=Xtreme%20GYM&query_place_id=ChIJJ0cYS_yrt5URqmRmfpctErc,Gym
Kairos Gym,5,1,Greg Perez De Denis Santa Fe AR,Gregoria Pérez de Denis,Santa Fe Province,AR,,,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Kairos%20Gym&query_place_id=ChIJ4Rlrb8oROJQRz8lLrhmtSMk,Gymnastics center
Evolution Gym ‍♂️,,,Av. Minetti 3061,Villa Minetti,Santa Fe Province,AR,,+54 3491 58-5809,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Evolution%20Gym%20%F0%9F%8F%8B%F0%9F%8F%BB%E2%80%8D%E2%99%82%EF%B8%8F&query_place_id=ChIJ3Xhkl5fzN5QRMGUB6czv_Z4,Gymnastics center
Universal Gym • Funes City,4.7,40,Vélez Sarfield bis 660,Funes,Santa Fe Province,AR,,+54 341 281-2933,Gym,https://www.google.com/maps/search/?api=1&query=Universal%20Gym%20%E2%80%A2%20Funes%20City&query_place_id=ChIJM_lvtkNNtpUR69Vc4wv53xg,Gym
Flow Gym Mujeres,4.9,12,"Av. San Martín, San Juan &",San Lorenzo,Santa Fe Province,AR,,+54 9 341 544-6768,Gym,https://www.google.com/maps/search/?api=1&query=Flow%20Gym%20Mujeres&query_place_id=ChIJDw-CPPRbtpURICJOp1kJq2M,Gym
Teseo Gym,4.6,140,"S2008IPB, Perú 1640",Rosario,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Teseo%20Gym&query_place_id=ChIJ-QXOx9Gst5UR1RxhwAwGqZI,Gym
Gimnasio Roma,4.6,106,San Jose &,La Rioja,Santa Fe Province,AR,,+54 342 485-0539,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Roma&query_place_id=ChIJG8DngEqotZURmq_3YCJ4FZw,Gym
Gym ZO,4.6,79,Camilo Aldao 2570,Rosario,Santa Fe Province,AR,,+54 341 584-7179,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20ZO&query_place_id=ChIJV4pqTJast5URJHwaE7T4i1w,Gym
GYM LA ROCA,4.6,5,Blvd. Villarino 2074,Zavalla,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=GYM%20LA%20ROCA&query_place_id=ChIJK0Qfq_W1t5UR50B_N1KAYCI,Gym
"Gimnasio ""IRON GYM""",4.3,114,"CJR, S2003CJR, Blvd. Seguí 3550",Rosario,Santa Fe Province,AR,,+54 9 341 371-6744,Gym,https://www.google.com/maps/search/?api=1&query=Gimnasio%20%22IRON%20GYM%22&query_place_id=ChIJ8zFdv4Cst5UR7H-m7jmK4to,Gym
Summum Gym,4.4,144,Blvd. Rondeau 3810,Rosario,Santa Fe Province,AR,https://www.instagram.com/summumgym/,+54 341 298-0224,Fitness center,https://www.google.com/maps/search/?api=1&query=Summum%20Gym&query_place_id=ChIJB003raRTtpUR0-46Tz-d2D4,Fitness center
GYM DE LA COSTA,4.7,10,"EMF, Echeverría 450",Rosario,Santa Fe Province,AR,https://www.instagram.com/gymdelacostarosario/profilecard/?igsh=OW1kdHNxd3JhdHps,+54 341 313-7887,Gym,https://www.google.com/maps/search/?api=1&query=GYM%20DE%20LA%20COSTA&query_place_id=ChIJH0P8e79TtpURYKvt59cRcUg,Gym
LA ELOIZA GYM,4.7,115,"S2003ITQ, Lavalle 2501",Rosario,Santa Fe Province,AR,,+54 341 692-4214,Gym,https://www.google.com/maps/search/?api=1&query=LA%20ELOIZA%20GYM&query_place_id=ChIJCbxzY5mst5URxbKgaQSmpVE,Gym
Progress Club Gym,4.7,64,Mendoza 5475,Rosario,Santa Fe Province,AR,,+54 341 570-3255,Gym,https://www.google.com/maps/search/?api=1&query=Progress%20Club%20Gym&query_place_id=ChIJ9daH7R-tt5UR3J1k-6LIO_k,Gym
Euro Gym Red South,4.2,77,Av. San Martín 4989,Rosario,Santa Fe Province,AR,,+54 341 464-5787,Gym,https://www.google.com/maps/search/?api=1&query=Euro%20Gym%20Red%20South&query_place_id=ChIJGUo7FMOrt5URaj0xsq1M5AM,Gym
Namaste Movement Space,4.8,130,"España 1118, España 1126",Rosario,Santa Fe Province,AR,https://sites.google.com/view/namastegym,+54 341 242-7513,Pilates studio,https://www.google.com/maps/search/?api=1&query=Namaste%20Movement%20Space&query_place_id=ChIJkawqRxSrt5URiAZXWuvxlas,Pilates studio
IMPERIO GYM,4.6,66,Av. Dorrego 960,San Lorenzo,Santa Fe Province,AR,https://business.google.com/b/104427109172659518097/edit/l/13881695352923185425?hl=es-419&c=https://business.google.com/b/104427109172659518097/add/pluspageupgrade/l/13881695352923185425%3Fhl=es-419&nv=1,+54 341 595-0541,Gym,https://www.google.com/maps/search/?api=1&query=IMPERIO%20GYM&query_place_id=ChIJX1yQjOVatpURCp43x5NiUwo,Gym
Kyrios Gym,4,81,Mendoza 571,Rosario,Santa Fe Province,AR,https://www.instagram.com/gimnasiokyrios.centro?igsh=NXhqYnFwZnM4OWEy,+54 341 648-4003,Gym,https://www.google.com/maps/search/?api=1&query=Kyrios%20Gym&query_place_id=ChIJs6nJv12rt5URnI103r7v-Js,Gym
LIMITED RED FITNESS AND GYM,4.6,84,Av. Ovidio Lagos 5513 Sur,Rosario,Santa Fe Province,AR,,+54 341 646-6007,Fitness center,https://www.google.com/maps/search/?api=1&query=LIMITED%20RED%20FITNESS%20AND%20GYM&query_place_id=ChIJzZqYLwist5URVUcwePpotG4,Fitness center
EURO GYM RED Funes,4.2,89,"Ruta 9, km 320",Funes,Santa Fe Province,AR,,+54 9 341 334-0045,Fitness center,https://www.google.com/maps/search/?api=1&query=EURO%20GYM%20RED%20Funes&query_place_id=ChIJNTVbLFJMtpURFmNlrWrOhgs,Fitness center
Mundo Fitness Gym,5,5,Rivadavia 700,Arroyo Seco,Santa Fe Province,AR,https://m.facebook.com/gustavo.elgroso,,Gym,https://www.google.com/maps/search/?api=1&query=Mundo%20Fitness%20Gym&query_place_id=ChIJFdpBkL8Lt5URNTOAwbxpJxE,Gym
La Morena Gym,4.5,179,Córdoba 3920,Rosario,Santa Fe Province,AR,https://www.facebook.com/lamorenagym/,+54 341 719-9734,Gym,https://www.google.com/maps/search/?api=1&query=La%20Morena%20Gym&query_place_id=ChIJh57kuamst5URH6PjP53oy68,Gym
Punto Este Gym,4.8,104,Irigoyen 217,Villa Constitución,Santa Fe Province,AR,,+54 3400 51-7815,Gym,https://www.google.com/maps/search/?api=1&query=Punto%20Este%20Gym&query_place_id=ChIJ96r4IUJst5URWW4-spmqNyE,Gym
Colello Gym,4.9,157,Pueyrredón 5564,Rosario,Santa Fe Province,AR,http://www.instagram.com/colellogym,+54 341 655-7346,Gym,https://www.google.com/maps/search/?api=1&query=Colello%20Gym&query_place_id=ChIJtdWk2yGrt5URYVZ4bPYRcUI,Gym
Fierro GYM,5,5,Vélez Sársfield 7379,Rosario,Santa Fe Province,AR,,+54 341 211-2368,Gymnastics center,https://www.google.com/maps/search/?api=1&query=Fierro%20GYM&query_place_id=ChIJF-qr5SdTtpURb3mbkEU4l-I,Gymnastics center
America Gym,4.9,150,French 322,Fray Luis Beltrán,Santa Fe Province,AR,,+54 341 696-7470,Gym,https://www.google.com/maps/search/?api=1&query=America%20Gym&query_place_id=ChIJFcf7J4NatpURnkBErSGA1jo,Gym
Hammer Gym,4.5,76,Amenábar 2786,AUL,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Hammer%20Gym&query_place_id=ChIJxSGgGXmrt5UR-lWraj7hDVQ,Gym
Cobra Power Gym,4.3,125,Blvd. Seguí 930,Rosario,Santa Fe Province,AR,,+54 341 257-2266,Gym,https://www.google.com/maps/search/?api=1&query=Cobra%20Power%20Gym&query_place_id=ChIJJyIQx7urt5URlxLKRL3L2H0,Gym
Power Gym,4.6,54,Blvd. Sarmiento 835,Roldán,Santa Fe Province,AR,,+54 341 342-1042,Gym,https://www.google.com/maps/search/?api=1&query=Power%20Gym&query_place_id=ChIJd4JZp7lJtpURtdv1UoWGsTw,Gym
Bellissima Gym ( solo mujeres ),4.9,24,Av. Pres. Perón,Rosario,Santa Fe Province,AR,https://www.facebook.com/bellissima.gym.5,,Gym,https://www.google.com/maps/search/?api=1&query=Bellissima%20Gym%20(%20solo%20mujeres%20)&query_place_id=ChIJ23f6Vgurt5UR06_hQ6sNyDs,Gym
AM GYM - GYM,4.4,150,Forest 7041 Oeste,Rosario,Santa Fe Province,AR,,+54 341 242-6524,Gym,https://www.google.com/maps/search/?api=1&query=AM%20GYM%20-%20GYM&query_place_id=ChIJxWDhl9Sst5URmFKiEF_BwTA,Gym
Gym Forma y Padel Esquina 10,4.5,103,"HEM, Bartolomé Mitre 1683",Villa Gobernador Gálvez,Santa Fe Province,AR,https://www.instagram.com/gymforma_esquina10,+54 341 492-2552,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20Forma%20y%20Padel%20Esquina%2010&query_place_id=ChIJM3dlNXOpt5URF9kOJ3P7fmc,Gym
Polk Gym,5,31,San Nicolás 831,Rosario,Santa Fe Province,AR,https://instagram.com/polkgym?igshid=YmMyMTA2M2Y=,,Gym,https://www.google.com/maps/search/?api=1&query=Polk%20Gym&query_place_id=ChIJM0UgaNyrt5URd4hcJY3GIIw,Gym
Gym Las Eras,4.7,47,Balcarce 1363,GGA,Santa Fe Province,AR,,+54 341 511-9001,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20Las%20Eras&query_place_id=ChIJITxGbGurt5UR2qSJ9xw0eto,Gym
Full gym,4,2,"ARJ, J. M. Ibarlucea 406",Granadero Baigorria,Santa Fe Province,AR,,+54 341 657-3243,Gym,https://www.google.com/maps/search/?api=1&query=Full%20gym&query_place_id=ChIJ3_8492tRtpURwv1yMcCahpw,Gym
In Action Gym,4.9,40,Colombres 590,Rosario,Santa Fe Province,AR,https://instagram.com/inaction.gym?utm_medium=copy_link,+54 341 321-3504,Gym,https://www.google.com/maps/search/?api=1&query=In%20Action%20Gym&query_place_id=ChIJ5f2tnTNTtpURObPS3QL3xGQ,Gym
Towers Gym,4.6,32,Liniers Bis 175,Rosario,Santa Fe Province,AR,,+54 9 341 314-8317,Gym,https://www.google.com/maps/search/?api=1&query=Towers%20Gym&query_place_id=ChIJlfn-gilTtpURxvNJkXd0yXQ,Gym
Bruno Correa GYM,5,128,Cmte. José Superí 1602,Rosario,Santa Fe Province,AR,http://www.instagram.com/brunoalancorrea.team,+54 341 677-3813,Gym,https://www.google.com/maps/search/?api=1&query=Bruno%20Correa%20GYM&query_place_id=ChIJzwrgcgBTtpURLNVM82rcdp8,Gym
Power Gym Fitness Center Spa Sotelo,4.7,81,Gral. López 2473,GRQ,Santa Fe Province,AR,http://www.sotelopowergym.com/,+54 3476 42-6270,Fitness center,https://www.google.com/maps/search/?api=1&query=Power%20Gym%20Fitness%20Center%20Spa%20Sotelo&query_place_id=ChIJIZHJ7xxbtpURyvl3MxH4c1k,Fitness center
Macro Gym Club,5,25,Av. San Martín 378,Puerto General San Martín,Santa Fe Province,AR,,+54 3476 55-1077,Gym,https://www.google.com/maps/search/?api=1&query=Macro%20Gym%20Club&query_place_id=ChIJz1LgBsVbtpUR6BZc8y53lOw,Gym
Total Gym Viviano,3.2,90,Blvd. Rondeau 2590,Rosario,Santa Fe Province,AR,https://www.viviano.com.ar/,+54 9 341 612-9587,Gym,https://www.google.com/maps/search/?api=1&query=Total%20Gym%20Viviano&query_place_id=ChIJ7x5GEJlTtpURYpUW33fE5X8,Gym
FORCE CENTER GYM,4.8,53,J. M. Ibarlucea 331,Granadero Baigorria,Santa Fe Province,AR,,+54 341 614-0845,Gym,https://www.google.com/maps/search/?api=1&query=FORCE%20CENTER%20GYM&query_place_id=ChIJBQhzEGxRtpURa4Fz7MHLp20,Gym
Gym Azur,5,14,Vicente López 302-310,San Lorenzo,Santa Fe Province,AR,,,Gym,https://www.google.com/maps/search/?api=1&query=Gym%20Azur&query_place_id=ChIJFTjvBkxbtpURFas_pEy5rJA,Gym
Integral Gym,4.8,44,Corrientes 2180,Rosario,Santa Fe Province,AR,,+54 9 341 641-2299,Gym,https://www.google.com/maps/search/?api=1&query=Integral%20Gym&query_place_id=ChIJuSw6Mvirt5URRU0teEcuZWo,Gym
El Olimpo Gym,4.8,52,Blvd. Seguí 5312,Rosario,Santa Fe Province,AR,,+54 9 341 555-2257,Gym,https://www.google.com/maps/search/?api=1&query=El%20Olimpo%20Gym&query_place_id=ChIJU21uiP6tt5URqlPY9StnPy8,Gym
